PZN;ENR;Bearbeitungsnummer;Referenzierte Erstmeldung;Meldungsart;Beginn;Ende;Datum der letzten Meldung;Art des Grundes;Arzneimittlbezeichnung;Atc Code;Wirkstoffe;Krankenhausrelevant;Zulassungsinhaber;Telefon;E-Mail;Grund;Anm. zum Grund;Alternativpräparat;Datum der Erstmeldung;Info an Fachkreise;Darreichungsform;klassifikation
09232982;2200859;LE2026001463;LE2025000480;Änderungsmeldung;27.01.2025;30.06.2026;16.04.2026;Produktionsproblem;Quetiapin Heumann retard 400 mg Retardtabletten;N05AH04;Quetiapinfumarat (Ph.Eur.);nein;Heumann Pharma GmbH & Co. Generica KG;N/A;info@heumann.de;Probleme in der Herstellung;N/A;N/A;10.02.2025;Vorgesehen;Retardtablette;weder versrel noch verskri
09232999;2200859;LE2026001463;LE2025000480;Änderungsmeldung;27.01.2025;30.06.2026;16.04.2026;Produktionsproblem;Quetiapin Heumann retard 400 mg Retardtabletten;N05AH04;Quetiapinfumarat (Ph.Eur.);nein;Heumann Pharma GmbH & Co. Generica KG;N/A;info@heumann.de;Probleme in der Herstellung;N/A;N/A;10.02.2025;Vorgesehen;Retardtablette;weder versrel noch verskri
09237838;2200858;LE2026001462;LE2025000479;Änderungsmeldung;27.01.2025;30.06.2026;16.04.2026;Produktionsproblem;Quetiapin Heumann retard 300 mg Retardtabletten;N05AH04;Quetiapinfumarat (Ph.Eur.);nein;Heumann Pharma GmbH & Co. Generica KG;N/A;info@heumann.de;Probleme in der Herstellung;N/A;N/A;10.02.2025;Vorgesehen;Retardtablette;weder versrel noch verskri
09237844;2200858;LE2026001462;LE2025000479;Änderungsmeldung;27.01.2025;30.06.2026;16.04.2026;Produktionsproblem;Quetiapin Heumann retard 300 mg Retardtabletten;N05AH04;Quetiapinfumarat (Ph.Eur.);nein;Heumann Pharma GmbH & Co. Generica KG;N/A;info@heumann.de;Probleme in der Herstellung;N/A;N/A;10.02.2025;Vorgesehen;Retardtablette;weder versrel noch verskri
09237867;2200858;LE2026001462;LE2025000479;Änderungsmeldung;27.01.2025;30.06.2026;16.04.2026;Produktionsproblem;Quetiapin Heumann retard 300 mg Retardtabletten;N05AH04;Quetiapinfumarat (Ph.Eur.);nein;Heumann Pharma GmbH & Co. Generica KG;N/A;info@heumann.de;Probleme in der Herstellung;N/A;N/A;10.02.2025;Vorgesehen;Retardtablette;weder versrel noch verskri
06195016;2193162;LE2026001461;LE2025000826;Änderungsmeldung;24.02.2025;30.06.2026;16.04.2026;Produktionsproblem;Galantamin Heumann 16 mg Hartkapseln, retardiert;N06DA04;Galantaminhydrobromid;nein;Heumann Pharma GmbH & Co. Generica KG;N/A;info@heumann.de;Probleme in der Herstellung;N/A;N/A;10.03.2025;Vorgesehen;Hartkapsel, retardiert;weder versrel noch verskri
09632859;2193162;LE2026001461;LE2025000826;Änderungsmeldung;24.02.2025;30.06.2026;16.04.2026;Produktionsproblem;Galantamin Heumann 16 mg Hartkapseln, retardiert;N06DA04;Galantaminhydrobromid;nein;Heumann Pharma GmbH & Co. Generica KG;N/A;info@heumann.de;Probleme in der Herstellung;N/A;N/A;10.03.2025;Vorgesehen;Hartkapsel, retardiert;weder versrel noch verskri
09632871;2193162;LE2026001461;LE2025000826;Änderungsmeldung;24.02.2025;30.06.2026;16.04.2026;Produktionsproblem;Galantamin Heumann 16 mg Hartkapseln, retardiert;N06DA04;Galantaminhydrobromid;nein;Heumann Pharma GmbH & Co. Generica KG;N/A;info@heumann.de;Probleme in der Herstellung;N/A;N/A;10.03.2025;Vorgesehen;Hartkapsel, retardiert;weder versrel noch verskri
06195401;2193163;LE2026001460;LE2025000827;Änderungsmeldung;24.02.2025;30.06.2026;16.04.2026;Produktionsproblem;Galantamin Heumann 24 mg Hartkapseln, retardiert;N06DA04;Galantaminhydrobromid;nein;Heumann Pharma GmbH & Co. Generica KG;N/A;info@heumann.de;Probleme in der Herstellung;N/A;N/A;10.03.2025;Vorgesehen;Hartkapsel, retardiert;weder versrel noch verskri
09632888;2193163;LE2026001460;LE2025000827;Änderungsmeldung;24.02.2025;30.06.2026;16.04.2026;Produktionsproblem;Galantamin Heumann 24 mg Hartkapseln, retardiert;N06DA04;Galantaminhydrobromid;nein;Heumann Pharma GmbH & Co. Generica KG;N/A;info@heumann.de;Probleme in der Herstellung;N/A;N/A;10.03.2025;Vorgesehen;Hartkapsel, retardiert;weder versrel noch verskri
09632902;2193163;LE2026001460;LE2025000827;Änderungsmeldung;24.02.2025;30.06.2026;16.04.2026;Produktionsproblem;Galantamin Heumann 24 mg Hartkapseln, retardiert;N06DA04;Galantaminhydrobromid;nein;Heumann Pharma GmbH & Co. Generica KG;N/A;info@heumann.de;Probleme in der Herstellung;N/A;N/A;10.03.2025;Vorgesehen;Hartkapsel, retardiert;weder versrel noch verskri
08820369;2707487;LE2026001454;LE2025004156;Änderungsmeldung;01.11.2024;31.05.2026;16.04.2026;Sonstige;Bronchitol 40 mg Hartkapsel mit Pulver zur Inhalation - OP10(1x10);R05CB16;Mannitol (Ph.Eur.);ja;Pharmaxis Europe Limited;N/A;hildegard.schmatz@ndareg.com;Sonstige;Bronchitol 40 mg Hartkapsel mit Pulver zur Inhalation ist indiziert zur Behandlung von Mukoviszidose bei Erwachsenen als Zusatztherapie zur bestmöglichen Standardbehandlung.Bronchitol wird seit Oktober 2023 in folgenden EU/EWR-Ländern vermarktet: Österreich, Tschechische Republik, Dänemark, Deutschland, Griechenland, Ungarn, Irland, Italien, Schweden und Norwegen.;Bronchitol 40 mg Hartkapsel mit Pulver zur Inhalation - OP280(28x10) - Einreichungsnummer: 2707486;25.11.2025;Nein;Hartkapsel mit Pulver zur Inhalation;weder versrel noch verskri
06081206;2170564;LE2026001453;LE2026001091;Änderungsmeldung;11.03.2026;30.10.2026;16.04.2026;Sonstige;Seroquel Prolong 400 mg Retardtabletten;N05AH04;Quetiapinfumarat (Ph.Eur.);nein;Cheplapharm Arzneimittel GmbH;03834 451 0;RA-Seroquel@cheplapharm.com;Erhöhte Nachfrage;Competitors stockout;N/A;23.03.2026;Nein;Retardtablette;weder versrel noch verskri
06081212;2170564;LE2026001453;LE2026001091;Änderungsmeldung;11.03.2026;30.10.2026;16.04.2026;Sonstige;Seroquel Prolong 400 mg Retardtabletten;N05AH04;Quetiapinfumarat (Ph.Eur.);nein;Cheplapharm Arzneimittel GmbH;03834 451 0;RA-Seroquel@cheplapharm.com;Erhöhte Nachfrage;Competitors stockout;N/A;23.03.2026;Nein;Retardtablette;weder versrel noch verskri
09272935;2186973;LE2026001452;LE2025000413;Änderungsmeldung;31.01.2025;15.06.2026;16.04.2026;Sonstige;Quetiapin AbZ 150 mg Retardtabletten;N05AH04;Quetiapinfumarat (Ph.Eur.);nein;AbZ-Pharma GmbH;N/A;info@AbZ.de;Erhöhte Nachfrage;N/A;N/A;04.02.2025;Vorgesehen;Retardtablette;weder versrel noch verskri
01016635;2137772;LE2026001451;LE2025003277;Änderungsmeldung;15.09.2025;19.05.2026;16.04.2026;Sonstige;Nitrendipin AbZ 10 mg Tabletten;C08CA08;Nitrendipin;nein;AbZ-Pharma GmbH;N/A;info@ratiopharm.de;Erhöhte Nachfrage;N/A;N/A;17.09.2025;Vorgesehen;Tablette;weder versrel noch verskri
08699235;2130025;LE2026001450;LE2025003275;Änderungsmeldung;15.09.2025;20.05.2026;16.04.2026;Sonstige;Nitrendipin-ratiopharm 10 mg Tabletten;C08CA08;Nitrendipin;nein;ratiopharm GmbH;N/A;info@ratiopharm.de;Erhöhte Nachfrage;N/A;N/A;17.09.2025;Vorgesehen;Tablette;weder versrel noch verskri
08699241;2130025;LE2026001450;LE2025003275;Änderungsmeldung;15.09.2025;20.05.2026;16.04.2026;Sonstige;Nitrendipin-ratiopharm 10 mg Tabletten;C08CA08;Nitrendipin;nein;ratiopharm GmbH;N/A;info@ratiopharm.de;Erhöhte Nachfrage;N/A;N/A;17.09.2025;Vorgesehen;Tablette;weder versrel noch verskri
08699264;2130026;LE2026001449;LE2025003276;Änderungsmeldung;15.09.2025;10.06.2026;16.04.2026;Sonstige;Nitrendipin-ratiopharm 20 mg Tabletten;C08CA08;Nitrendipin;nein;ratiopharm GmbH;N/A;info@ratiopharm.de;Erhöhte Nachfrage;N/A;N/A;17.09.2025;Vorgesehen;Tablette;weder versrel noch verskri
08699270;2130026;LE2026001449;LE2025003276;Änderungsmeldung;15.09.2025;10.06.2026;16.04.2026;Sonstige;Nitrendipin-ratiopharm 20 mg Tabletten;C08CA08;Nitrendipin;nein;ratiopharm GmbH;N/A;info@ratiopharm.de;Erhöhte Nachfrage;N/A;N/A;17.09.2025;Vorgesehen;Tablette;weder versrel noch verskri
08699287;2130026;LE2026001449;LE2025003276;Änderungsmeldung;15.09.2025;10.06.2026;16.04.2026;Sonstige;Nitrendipin-ratiopharm 20 mg Tabletten;C08CA08;Nitrendipin;nein;ratiopharm GmbH;N/A;info@ratiopharm.de;Erhöhte Nachfrage;N/A;N/A;17.09.2025;Vorgesehen;Tablette;weder versrel noch verskri
16841724;2130702;LE2026001446;N/A;Erstmeldung;15.04.2026;31.05.2026;15.04.2026;Sonstige;Imeron 300;V08AB10;Iomeprol;ja;Bracco IMAGING Deutschland GmbH;N/A;Chakib.Lemzouri@bracco.com;Erhöhte Nachfrage;Der Lieferengpass betrifft die Packungsgröße mit 10 x 10 ml.;Solutrast 300 - Einreichungsnummer: 2129274;15.04.2026;Ja;Lösung;verskri (auch versrel)
06882277;0584573;LE2026001445;N/A;Erstmeldung;15.04.2026;22.05.2026;15.04.2026;Sonstige;Resonium A;V03AE01;Poly(styrol-co-divinylbenzol)sulfonsäure-(x:y)-Natriumsalz;ja;Sanofi-Aventis Deutschland GmbH;08005252010;medinfo.de@sanofi.com;Unzureichende Produktionskapazitäten;Nicht lieferfähig;N/A;15.04.2026;Vorgesehen;Pulver zur Herstellung einer Suspension zum Einnehmen oder einer Rektalsuspension;verskri (auch versrel)
07473799;2183323;LE2026001430;LE2026000704;Änderungsmeldung;16.02.2026;29.05.2026;15.04.2026;Produktionsproblem;Valaciclovir Aurobindo 500 mg Filmtabletten;J05AB11;Valaciclovirhydrochlorid;ja;PUREN Pharma GmbH & Co. KG;N/A;ATsiboukis@puren-pharma.de;Probleme in der Herstellung;Recoursenengpass bei der Produktion;Valaciclovir Aurobindo 500 mg Filmtabletten - Einreichungsnummer: 2183323;24.02.2026;Vorgesehen;Filmtablette;versrel
18105478;7005615;LE2026001426;LE2025001024;Änderungsmeldung;15.02.2025;16.06.2026;15.04.2026;Sonstige;Tacrolimus AL 5 mg Hartkapseln, retardiert;L04AD02;Tacrolimus-Monohydrat;nein;ALIUD PHARMA GmbH;0733396510;info@aliud.de;Erhöhte Nachfrage;N/A;N/A;25.03.2025;Vorgesehen;Hartkapsel, retardiert;verskri (auch versrel)
18110485;7005615;LE2026001426;LE2025001024;Änderungsmeldung;15.02.2025;16.06.2026;15.04.2026;Sonstige;Tacrolimus AL 5 mg Hartkapseln, retardiert;L04AD02;Tacrolimus-Monohydrat;nein;ALIUD PHARMA GmbH;0733396510;info@aliud.de;Erhöhte Nachfrage;N/A;N/A;25.03.2025;Vorgesehen;Hartkapsel, retardiert;verskri (auch versrel)
18105432;7005613;LE2026001425;LE2025001022;Änderungsmeldung;15.02.2025;16.06.2026;15.04.2026;Sonstige;Tacrolimus AL 1 mg Hartkapseln, retardiert;L04AD02;Tacrolimus-Monohydrat;nein;ALIUD PHARMA GmbH;0733396510;info@aliud.de;Erhöhte Nachfrage;N/A;N/A;25.03.2025;Vorgesehen;Hartkapsel, retardiert;verskri (auch versrel)
18110410;7005613;LE2026001425;LE2025001022;Änderungsmeldung;15.02.2025;16.06.2026;15.04.2026;Sonstige;Tacrolimus AL 1 mg Hartkapseln, retardiert;L04AD02;Tacrolimus-Monohydrat;nein;ALIUD PHARMA GmbH;0733396510;info@aliud.de;Erhöhte Nachfrage;N/A;N/A;25.03.2025;Vorgesehen;Hartkapsel, retardiert;verskri (auch versrel)
18105389;7005612;LE2026001424;LE2025001021;Änderungsmeldung;15.02.2025;16.06.2026;15.04.2026;Sonstige;Tacrolimus AL 0,5 mg Hartkapseln, retardiert;L04AD02;Tacrolimus-Monohydrat;nein;ALIUD PHARMA GmbH;0733396510;info@aliud.de;Erhöhte Nachfrage;N/A;N/A;25.03.2025;Vorgesehen;Hartkapsel, retardiert;weder versrel noch verskri
18110404;7005612;LE2026001424;LE2025001021;Änderungsmeldung;15.02.2025;16.06.2026;15.04.2026;Sonstige;Tacrolimus AL 0,5 mg Hartkapseln, retardiert;L04AD02;Tacrolimus-Monohydrat;nein;ALIUD PHARMA GmbH;0733396510;info@aliud.de;Erhöhte Nachfrage;N/A;N/A;25.03.2025;Vorgesehen;Hartkapsel, retardiert;weder versrel noch verskri
18105455;7005614;LE2026001423;LE2025001023;Änderungsmeldung;15.02.2025;16.06.2026;15.04.2026;Sonstige;Tacrolimus AL 3 mg Hartkapseln, retardiert;L04AD02;Tacrolimus-Monohydrat;nein;ALIUD PHARMA GmbH;0733396510;info@aliud.de;Erhöhte Nachfrage;N/A;N/A;25.03.2025;Vorgesehen;Hartkapsel, retardiert;verskri (auch versrel)
18110479;7005614;LE2026001423;LE2025001023;Änderungsmeldung;15.02.2025;16.06.2026;15.04.2026;Sonstige;Tacrolimus AL 3 mg Hartkapseln, retardiert;L04AD02;Tacrolimus-Monohydrat;nein;ALIUD PHARMA GmbH;0733396510;info@aliud.de;Erhöhte Nachfrage;N/A;N/A;25.03.2025;Vorgesehen;Hartkapsel, retardiert;verskri (auch versrel)
00000000;2114031;LE2026001421;LE2024001865;Änderungsmeldung;01.05.2024;16.06.2026;15.04.2026;Sonstige;Amoxicillin AL TS;J01CA04;Amoxicillin-Trihydrat;nein;ALIUD PHARMA GmbH;0733396510;info@aliud.de;Erhöhte Nachfrage;N/A;N/A;15.05.2024;Vorgesehen;Pulver zur Herstellung einer Suspension zum Einnehmen;verskri (auch versrel)
04751588;2114031;LE2026001421;LE2024001865;Änderungsmeldung;01.05.2024;16.06.2026;15.04.2026;Sonstige;Amoxicillin AL TS;J01CA04;Amoxicillin-Trihydrat;nein;ALIUD PHARMA GmbH;0733396510;info@aliud.de;Erhöhte Nachfrage;N/A;N/A;15.05.2024;Vorgesehen;Pulver zur Herstellung einer Suspension zum Einnehmen;verskri (auch versrel)
09424428;2114031;LE2026001421;LE2024001865;Änderungsmeldung;01.05.2024;16.06.2026;15.04.2026;Sonstige;Amoxicillin AL TS;J01CA04;Amoxicillin-Trihydrat;nein;ALIUD PHARMA GmbH;0733396510;info@aliud.de;Erhöhte Nachfrage;N/A;N/A;15.05.2024;Vorgesehen;Pulver zur Herstellung einer Suspension zum Einnehmen;verskri (auch versrel)
14313659;2202258;LE2026001420;LE2025003864;Änderungsmeldung;01.10.2025;13.05.2026;14.04.2026;Produktionsproblem;Aprepitant Zentiva 80 mg Hartkapseln;A04AD12;Aprepitant;nein;Zentiva Pharma GmbH;N/A; MedInfo.DE@zentiva.com;Probleme in der Herstellung;Notwendige Variations wurden dem Zulassungsinhaber vom Lohnherstellernicht rechtzeitig angekündigt.;N/A;03.11.2025;Vorgesehen;Hartkapsel;versrel
03431284;1463937;LE2026001416;N/A;Erstmeldung;10.04.2026;26.05.2026;13.04.2026;Produktionsproblem;Xylonest 1 %;N01BB04;Prilocainhydrochlorid;ja;Aspen Pharma Trading Limited;N/A;de_quality@aspenpharma.eu;Probleme in der Herstellung;N/A;Xylonest 1 % Fl. 50 ml - Einreichungsnummer: 0084818;13.04.2026;Nein;Injektionslösung;weder versrel noch verskri
17582880;2203601;LE2026001409;LE2024004631;Änderungsmeldung;18.12.2024;30.06.2026;13.04.2026;Sonstige;Teicoplanin Eberth 400 mg Pulver zur Herstellung einer Injektions-/Infusionslösung oder einer Lösung zum Einnehmen;J01XA02;Teicoplanin;ja;Dr. Friedrich Eberth Arzneimittel GmbH;N/A;schoeberl@eberth.de;Sonstige;n.a.;N/A;20.12.2024;Vorgesehen;Pulver zur Herstellung einer Injektions- bzw. Infusionslösung oder einer Lösung zum Einnehmen;verskri (auch versrel)
17582874;2203600;LE2026001408;LE2024004630;Änderungsmeldung;18.12.2024;30.06.2026;13.04.2026;Sonstige;Teicoplanin Eberth 200 mg Pulver zur Herstellung einer Injektions-/Infusionslösung oder einer Lösung zum Einnehmen;J01XA02;Teicoplanin;ja;Dr. Friedrich Eberth Arzneimittel GmbH;N/A;schoeberl@eberth.de;Sonstige;n.a.;N/A;20.12.2024;Vorgesehen;Pulver zur Herstellung einer Injektions- bzw. Infusionslösung oder einer Lösung zum Einnehmen;verskri (auch versrel)
15862842;2714959, 2714960;LE2026001407;LE2025004705;Änderungsmeldung;27.10.2025;31.05.2026;13.04.2026;Sonstige;Nepexto 50 mg Injektionslösung in einer Fertigspritze ;L04AB01;Etanercept;nein;Biosimilar Collaborations Ireland Limited;+49 15168646713;nadia.cali@biocon.com;Sonstige;N/A;Enbrel 50 mg Injektionslösung in Fertigspritze - OP4 - Einreichungsnummer: 2703354;29.12.2025;Vorgesehen;Injektionslösung;versrel
15862859;2714959, 2714960;LE2026001407;LE2025004705;Änderungsmeldung;27.10.2025;31.05.2026;13.04.2026;Sonstige;Nepexto 50 mg Injektionslösung in einer Fertigspritze ;L04AB01;Etanercept;nein;Biosimilar Collaborations Ireland Limited;+49 15168646713;nadia.cali@biocon.com;Sonstige;N/A;Enbrel 50 mg Injektionslösung in Fertigspritze - OP4 - Einreichungsnummer: 2703354;29.12.2025;Vorgesehen;Injektionslösung;versrel
02424572;0762336;LE2026001402;N/A;Erstmeldung;15.04.2026;01.09.2026;13.04.2026;Produktionsproblem;Dipiperon;N05AD05;Pipamperondihydrochlorid;nein;EUMEDICA S.A.;+41612053328;h.bornemann@eumedica.ch;Sonstige;N/A;Dipiperon - Einreichungsnummer: 0762336;13.04.2026;Vorgesehen;Tablette;versrel
07378322;2705252;LE2026001401;N/A;Erstmeldung;13.04.2026;17.06.2026;13.04.2026;Sonstige;Temodal 2,5 mg/ml Pulver zur Herstellung einer Infusionslösung - OP1;L01AX03;Temozolomid;ja;Merck Sharp & Dohme B.V.;08945611873;anton.dimopoulos@msd.de;Erhöhte Nachfrage;Erhöhte Nachfrage;N/A;13.04.2026;Nein;Pulver zur Herstellung einer Infusionslösung;versrel
10517158;2183413;LE2026001394;N/A;Erstmeldung;09.04.2026;15.05.2026;10.04.2026;Sonstige;Gabapentin-Micro Labs 600 mg Filmtabletten;N02BF01;Gabapentin;ja;Micro Labs GmbH;N/A;ausschreibungen@microlabsgmbh.de;Erhöhte Nachfrage;N/A;N/A;10.04.2026;Nein;Filmtablette;versrel
04543944;0820163;LE2026001391;N/A;Erstmeldung;10.04.2026;30.06.2027;10.04.2026;Sonstige;INFECTOMYCIN 600 Saft;J01FA01;Erythromycinestolat;ja;INFECTOPHARM Arzneimittel und Consilium GmbH;4906252957000;shortages@infectopharm.com;Sonstige;N/A;INFECTOMYCIN 400 Saft - Einreichungsnummer: 0610075;10.04.2026;Nein;Pulver zur Herstellung einer Suspension zum Einnehmen;verskri (auch versrel)
03746740;0245368;LE2026001388;LE2025002434;Änderungsmeldung;15.07.2025;15.07.2028;10.04.2026;Produktionsproblem;Atosil Injektionslösung N;R06AD02;Promethazinhydrochlorid;ja;Desitin Arzneimittel GmbH;N/A;info@desitin.de;Herstellerwechsel;Transfer;N/A;11.07.2025;Nein;Injektionslösung;versrel
00720906;0244831;LE2026001387;LE2024004244;Änderungsmeldung;15.11.2024;15.05.2028;10.04.2026;Produktionsproblem;Neurocil Ampullen;N05AA02;Levomepromazinhydrochlorid;ja;Desitin Arzneimittel GmbH;N/A;info@desitin.de;Herstellerwechsel;n.a.;N/A;25.11.2024;Nein;Injektionslösung;weder versrel noch verskri
00421799;0016828;LE2026001386;LE2025004145;Änderungsmeldung;24.11.2025;15.03.2028;10.04.2026;Produktionsproblem;Glianimon 2 ml;N05AD07;Benperidol;ja;Desitin Arzneimittel GmbH;N/A;info@desitin.de;Herstellerwechsel;n.a.;N/A;24.11.2025;Nein;Injektionslösung;weder versrel noch verskri
03275996;2168356;LE2026001385;N/A;Erstmeldung;01.02.2026;31.10.2026;09.04.2026;Sonstige;PANTOPRAZOL BASICS 40 mg magensaftresistente Tabletten;A02BC02;Pantoprazol-Natrium-Sesquihydrat;nein;Basics GmbH;N/A;dominik.lucke@sunpharma.com;Probleme beim Wirkstoffhersteller;Die PZN 10234064 ist erst seit dem 05.03.2026 lieferunfähig.Die PZN 05373792 ist erst seit dem 02.04.2026 lieferunfähig.;N/A;09.04.2026;Nein;magensaftresistente Tablette;versrel
05373792;2168356;LE2026001385;N/A;Erstmeldung;01.02.2026;31.10.2026;09.04.2026;Sonstige;PANTOPRAZOL BASICS 40 mg magensaftresistente Tabletten;A02BC02;Pantoprazol-Natrium-Sesquihydrat;nein;Basics GmbH;N/A;dominik.lucke@sunpharma.com;Probleme beim Wirkstoffhersteller;Die PZN 10234064 ist erst seit dem 05.03.2026 lieferunfähig.Die PZN 05373792 ist erst seit dem 02.04.2026 lieferunfähig.;N/A;09.04.2026;Nein;magensaftresistente Tablette;versrel
10234064;2168356;LE2026001385;N/A;Erstmeldung;01.02.2026;31.10.2026;09.04.2026;Sonstige;PANTOPRAZOL BASICS 40 mg magensaftresistente Tabletten;A02BC02;Pantoprazol-Natrium-Sesquihydrat;nein;Basics GmbH;N/A;dominik.lucke@sunpharma.com;Probleme beim Wirkstoffhersteller;Die PZN 10234064 ist erst seit dem 05.03.2026 lieferunfähig.Die PZN 05373792 ist erst seit dem 02.04.2026 lieferunfähig.;N/A;09.04.2026;Nein;magensaftresistente Tablette;versrel
05373763;2168355;LE2026001384;N/A;Erstmeldung;02.04.2026;31.10.2026;09.04.2026;Sonstige;PANTOPRAZOL BASICS 20 mg magensaftresistente Tabletten;A02BC02;Pantoprazol-Natrium-Sesquihydrat;nein;Basics GmbH;N/A;dominik.lucke@sunpharma.com;Probleme beim Wirkstoffhersteller;N/A;N/A;09.04.2026;Nein;magensaftresistente Tablette;versrel
08798888;2186539;LE2026001383;N/A;Erstmeldung;19.03.2026;31.12.2026;09.04.2026;Sonstige;VALSARTAN BASICS 320 mg Filmtabletten;C09CA03;Valsartan;nein;Basics GmbH;N/A;dominik.lucke@sunpharma.com;Unzureichende Produktionskapazitäten;N/A;N/A;09.04.2026;Nein;Filmtablette;weder versrel noch verskri
08837565;2174283;LE2026001382;N/A;Erstmeldung;02.04.2026;31.12.2026;09.04.2026;Sonstige;OLANZAPIN BASICS 2,5 mg Tabletten;N05AH03;Olanzapin;nein;Basics GmbH;N/A;dominik.lucke@sunpharma.com;Probleme beim Wirkstoffhersteller;N/A;N/A;09.04.2026;Nein;Tablette;weder versrel noch verskri
08468139;2174286;LE2026001381;N/A;Erstmeldung;01.04.2026;31.12.2026;09.04.2026;Sonstige;OLANZAPIN BASICS 10 mg Tabletten;N05AH03;Olanzapin;nein;Basics GmbH;N/A;dominik.lucke@sunpharma.com;Probleme beim Wirkstoffhersteller;N/A;N/A;09.04.2026;Nein;Tablette;weder versrel noch verskri
09482986;2183809;LE2026001380;N/A;Erstmeldung;02.04.2026;31.12.2026;09.04.2026;Sonstige;LEVETIRACETAM BASICS 750 mg Filmtabletten;N03AX14;Levetiracetam;nein;Basics GmbH;N/A;dominik.lucke@sunpharma.com;Probleme beim Wirkstoffhersteller;N/A;N/A;09.04.2026;Nein;Filmtablette;versrel
09482897;2183807;LE2026001379;LE2026000900;Änderungsmeldung;01.01.2025;31.12.2026;09.04.2026;Sonstige;LEVETIRACETAM BASICS 250 mg Filmtabletten;N03AX14;Levetiracetam;nein;Basics GmbH;N/A;dominik.lucke@sunpharma.com;Probleme beim Wirkstoffhersteller;N/A;N/A;06.03.2026;Nein;Filmtablette;versrel
09482905;2183807;LE2026001379;LE2026000900;Änderungsmeldung;01.01.2025;31.12.2026;09.04.2026;Sonstige;LEVETIRACETAM BASICS 250 mg Filmtabletten;N03AX14;Levetiracetam;nein;Basics GmbH;N/A;dominik.lucke@sunpharma.com;Probleme beim Wirkstoffhersteller;N/A;N/A;06.03.2026;Nein;Filmtablette;versrel
09482911;2183807;LE2026001379;LE2026000900;Änderungsmeldung;01.01.2025;31.12.2026;09.04.2026;Sonstige;LEVETIRACETAM BASICS 250 mg Filmtabletten;N03AX14;Levetiracetam;nein;Basics GmbH;N/A;dominik.lucke@sunpharma.com;Probleme beim Wirkstoffhersteller;N/A;N/A;06.03.2026;Nein;Filmtablette;versrel
09482992;2183810;LE2026001378;LE2026000901;Änderungsmeldung;02.12.2025;31.12.2026;09.04.2026;Sonstige;LEVETIRACETAM BASICS 1000 mg Filmtabletten;N03AX14;Levetiracetam;nein;Basics GmbH;N/A;dominik.lucke@sunpharma.com;Probleme beim Wirkstoffhersteller;Die PZN 9483000 ist erst seit dem 20.01.2026 lieferunfähig.;N/A;06.03.2026;Nein;Filmtablette;versrel
09483000;2183810;LE2026001378;LE2026000901;Änderungsmeldung;02.12.2025;31.12.2026;09.04.2026;Sonstige;LEVETIRACETAM BASICS 1000 mg Filmtabletten;N03AX14;Levetiracetam;nein;Basics GmbH;N/A;dominik.lucke@sunpharma.com;Probleme beim Wirkstoffhersteller;Die PZN 9483000 ist erst seit dem 20.01.2026 lieferunfähig.;N/A;06.03.2026;Nein;Filmtablette;versrel
09483017;2183810;LE2026001378;LE2026000901;Änderungsmeldung;02.12.2025;31.12.2026;09.04.2026;Sonstige;LEVETIRACETAM BASICS 1000 mg Filmtabletten;N03AX14;Levetiracetam;nein;Basics GmbH;N/A;dominik.lucke@sunpharma.com;Probleme beim Wirkstoffhersteller;Die PZN 9483000 ist erst seit dem 20.01.2026 lieferunfähig.;N/A;06.03.2026;Nein;Filmtablette;versrel
13426841;2197280;LE2026001377;LE2026000535;Änderungsmeldung;06.11.2025;31.12.2026;09.04.2026;Sonstige;ISOTRETINOIN BASICS 20 mg Weichkapseln;D10BA01;Isotretinoin;nein;Basics GmbH;N/A;dominik.lucke@sunpharma.com;Unzureichende Produktionskapazitäten;Die PZN 13426887 ist erst seit dem 02.01.2026 lieferunfähig.Die PZN 13426841 ist erst seit dem 07.01.2026 lieferunfähig.Die PZN 13426870 ist erst seit dem 04.05.2026 lieferunfähig.;N/A;06.02.2026;Nein;Weichkapsel;versrel
13426864;2197280;LE2026001377;LE2026000535;Änderungsmeldung;06.11.2025;31.12.2026;09.04.2026;Sonstige;ISOTRETINOIN BASICS 20 mg Weichkapseln;D10BA01;Isotretinoin;nein;Basics GmbH;N/A;dominik.lucke@sunpharma.com;Unzureichende Produktionskapazitäten;Die PZN 13426887 ist erst seit dem 02.01.2026 lieferunfähig.Die PZN 13426841 ist erst seit dem 07.01.2026 lieferunfähig.Die PZN 13426870 ist erst seit dem 04.05.2026 lieferunfähig.;N/A;06.02.2026;Nein;Weichkapsel;versrel
13426870;2197280;LE2026001377;LE2026000535;Änderungsmeldung;06.11.2025;31.12.2026;09.04.2026;Sonstige;ISOTRETINOIN BASICS 20 mg Weichkapseln;D10BA01;Isotretinoin;nein;Basics GmbH;N/A;dominik.lucke@sunpharma.com;Unzureichende Produktionskapazitäten;Die PZN 13426887 ist erst seit dem 02.01.2026 lieferunfähig.Die PZN 13426841 ist erst seit dem 07.01.2026 lieferunfähig.Die PZN 13426870 ist erst seit dem 04.05.2026 lieferunfähig.;N/A;06.02.2026;Nein;Weichkapsel;versrel
